"OverallQual";"OverallCond";"YearRemodAdd";"MasVnrArea";"BsmtFinSF1";"TotalBsmtSF";"X1stFlrSF";"GrLivArea";"FullBath";"KitchenAbvGr";"TotRmsAbvGrd";"Fireplaces";"GarageYrBlt";"GarageCars";"GarageArea";"SalePrice"
7;5;5;196;706;856;856;1710;2;1;8;0;2003;2;548;208500
6;8;31;0;978;1262;1262;1262;2;1;6;1;1976;2;460;181500
7;5;6;162;486;920;920;1786;2;1;6;1;2001;2;608;223500
7;5;36;0;216;756;961;1717;1;1;7;1;1998;3;642;140000
8;5;8;350;655;1145;1145;2198;2;1;9;1;2000;3;836;250000
5;5;14;0;732;796;796;1362;1;1;5;0;1993;2;480;143000
8;5;2;186;1369;1686;1694;1694;2;1;7;1;2004;2;636;307000
7;6;36;240;859;1107;1107;2090;2;1;7;2;1973;2;484;200000
7;5;58;0;0;952;1022;1774;2;2;8;2;1931;2;468;129900
5;6;58;0;851;991;1077;1077;1;2;5;2;1939;1;205;118000
5;5;43;0;906;1040;1040;1040;1;1;5;0;1965;1;384;129500
9;5;0;286;998;1175;1182;2324;3;1;11;2;2005;3;736;345000
5;6;46;0;737;912;912;912;1;1;4;0;1962;1;352;144000
7;5;0;306;0;1494;1494;1494;2;1;7;1;2006;3;840;279500
6;5;48;212;733;1253;1253;1253;1;1;5;1;1960;1;352;157000
7;8;6;0;0;832;854;854;1;1;5;0;1991;2;576;132000
6;7;40;180;578;1004;1004;1004;1;1;5;1;1970;2;480;149000
4;5;39;0;0;0;1296;1296;2;2;6;0;1967;2;516;90000
5;5;4;0;646;1114;1114;1114;1;1;6;0;2004;2;576;159000
5;6;44;0;504;1029;1339;1339;1;1;6;0;1958;1;294;139000
8;5;0;380;0;1158;1158;2376;3;1;9;1;2005;3;853;325300
7;7;57;0;0;637;1108;1108;1;1;6;1;1930;1;280;139400
8;5;6;281;0;1777;1795;1795;2;1;7;1;2002;2;534;230000
5;7;31;0;840;1040;1060;1060;1;1;6;1;1976;2;572;129900
5;8;9;0;188;1060;1060;1060;1;1;6;1;1968;1;270;154000
8;5;2;640;0;1566;1600;1600;2;1;7;1;2007;3;890;256300
5;7;10;0;234;900;900;900;1;1;5;0;2005;2;576;134800
8;5;2;200;1218;1704;1704;1704;2;1;7;1;2008;3;772;306000
5;6;9;0;1277;1484;1600;1600;1;1;6;2;1957;1;319;207500
4;6;58;0;0;520;520;520;1;1;4;0;1920;1;240;68500
4;4;58;0;0;649;649;1317;1;1;6;0;1920;1;250;40000
5;6;2;0;0;1228;1228;1228;1;1;6;0;1966;1;271;149350
8;5;1;0;0;1234;1234;1234;2;1;7;0;2007;2;484;179900
5;5;51;0;1018;1398;1700;1700;1;1;6;1;1959;2;447;165500
9;5;2;246;1153;1561;1561;1561;2;1;6;1;2005;2;556;277500
8;5;1;132;0;1117;1132;2452;3;1;9;1;2004;3;691;309000
5;5;14;0;0;1097;1097;1097;1;1;6;0;1995;2;672;145000
5;6;19;650;1213;1297;1297;1297;1;1;5;1;1954;2;498;153000
5;7;3;0;731;1057;1057;1057;1;1;5;0;1953;1;246;109000
4;5;53;0;0;0;1152;1152;2;2;6;0;2003;0;0;82000
6;5;41;101;643;1088;1324;1324;2;1;6;1;1965;2;440;160000
5;6;48;0;967;1350;1328;1328;1;1;5;2;1959;1;308;170000
5;7;24;0;747;840;884;884;1;1;5;0;1983;2;504;144000
5;6;28;0;280;938;938;938;1;1;5;0;1977;1;308;130250
5;6;47;0;179;1150;1150;1150;1;1;6;0;1959;1;300;141000
9;5;5;412;456;1752;1752;1752;2;1;6;1;2005;2;576;319900
7;5;6;0;1351;1434;1518;2149;1;1;6;1;2003;2;670;239686
8;5;1;0;24;1656;1656;1656;2;1;7;0;2006;3;826;249700
4;5;1;0;0;736;736;1452;2;3;8;0;1941;0;0;113000
5;7;41;0;763;955;955;955;1;1;6;0;1966;1;386;127000
6;6;10;0;182;794;794;1470;2;1;6;0;1997;2;388;177000
6;6;56;0;0;816;816;1176;1;1;6;1;1985;2;528;114500
5;5;47;0;104;816;816;816;1;1;5;0;1963;2;516;110000
9;5;19;0;1810;1842;1842;1842;0;1;5;1;1981;3;894;385000
5;5;52;0;384;384;1360;1360;1;1;6;1;1962;2;572;130000
6;5;44;272;490;1425;1425;1425;2;1;7;1;1964;2;576;180500
8;5;9;456;649;970;983;1739;2;1;7;0;1999;2;480;172500
7;5;2;0;0;860;860;1720;2;1;7;0;2004;2;565;196500
10;5;0;1031;0;1410;1426;2945;3;1;10;1;2006;3;641;438780
5;7;36;0;632;780;780;780;1;1;4;0;1973;1;352;124900
6;5;2;0;941;1158;1158;1158;1;1;5;0;2006;2;576;158000
